FeatureID,Annotation_Confidence,Final_name,Final_formula,InChIKey,Final_Superclass,Final_Class,Final_Subclass,ClassyFire.level.5,NPC.pathway,NPC.superclass,NPC.class
16.7_353.22991_RP,L2,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",C18H34O5,JHGVFGJXFVIYSM-XFXZXTDPSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA
18.095_353.22996_RP,L2,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",C18H34O5,JHGVFGJXFVIYSM-XFXZXTDPSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA
14.822_251.16414_RP,L2,"(1R,3S,4S,5R,7R)-4-(3-hydroxybutyl)-5-methyl-10-methylidene-8-oxatricyclo[5.3.0.0Âl,âµ]decan-9-one",C15H22O3,NA,NA,NA,NA,NA,NA,NA,NA
14.538_251.16414_RP,L2,"(1R,3S,4S,5R,7R)-4-(3-hydroxybutyl)-5-methyl-10-methylidene-8-oxatricyclo[5.3.0.0Âl,âµ]decan-9-one",C15H22O3,NA,NA,NA,NA,NA,NA,NA,NA
7.869_485.16296_RP,L3,"(1R,9S)-11-(4-Methoxybenzoyl)-5-[4-(trifluoromethoxy)phenyl]-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",C26H23F3N2O4,NA,NA,NA,NA,NA,NA,NA,NA
1.621_543.13217_RP,L3,"(1S,4aS,7aS)-7-({[(2E)-3-phenylprop-2-enoyl]oxy}methyl)-1-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,4aH,5H,7aH-cyclopenta[c]pyran-4-carboxylic acid",C25H28O11,NA,NA,NA,NA,NA,NA,NA,NA
13.021_285.13088_RP,L2,"(2R,3R,4S,5S,6R)-2-[(3Z)-hex-3-en-1-yloxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C12H22O6,NA,NA,NA,NA,NA,NA,NA,NA
8.014_318.15475_RP,L2,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[2-(4-hydroxyphenyl)ethoxy]oxane-3,4,5-triol",C14H20O7,ILRCGYURZSFMEG-RKQHYHRCSA-N,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA
15.449_247.09405_RP,L3,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C14H14O4,FWYSBEAFFPBAQU-LBPRGKRZSA-N,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,NA,NA,NA,NA
15.248_247.09406_RP,L3,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C14H14O4,FWYSBEAFFPBAQU-LBPRGKRZSA-N,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,NA,NA,NA,NA
